"year","geo_id","name","median_home_value","median_contract_rent","dataset"
2011,"40060","Richmond, VA Metro Area",227400,754,acs1
2012,"40060","Richmond, VA Metro Area",213900,780,acs1
2013,"40060","Richmond, VA Metro Area",207400,786,acs1
2014,"40060","Richmond, VA Metro Area",204800,803,acs1
2015,"40060","Richmond, VA Metro Area",213900,848,acs1
2016,"40060","Richmond, VA Metro Area",219700,863,acs1
2017,"40060","Richmond, VA Metro Area",227200,868,acs1
2018,"40060","Richmond, VA Metro Area",237900,896,acs1
2019,"40060","Richmond, VA Metro Area",246100,931,acs1
2011,"31180","Lubbock, TX Metro Area",107900,616,acs1
2012,"31180","Lubbock, TX Metro Area",108500,596,acs1
2013,"31180","Lubbock, TX Metro Area",108000,625,acs1
2014,"31180","Lubbock, TX Metro Area",104800,658,acs1
2015,"31180","Lubbock, TX Metro Area",111200,640,acs1
2016,"31180","Lubbock, TX Metro Area",120700,680,acs1
2017,"31180","Lubbock, TX Metro Area",131300,720,acs1
2018,"31180","Lubbock, TX Metro Area",135100,689,acs1
2019,"31180","Lubbock, TX Metro Area",146300,731,acs1
2011,"31300","Lumberton, NC Micro Area",63500,364,acs1
2012,"31300","Lumberton, NC Micro Area",70700,391,acs1
2013,"31300","Lumberton, NC Micro Area",71600,393,acs1
2014,"31300","Lumberton, NC Micro Area",63600,397,acs1
2015,"31300","Lumberton, NC Micro Area",71600,404,acs1
2016,"31300","Lumberton, NC Micro Area",78000,400,acs1
2017,"31300","Lumberton, NC Micro Area",74200,403,acs1
2018,"31300","Lumberton, NC Micro Area",77100,440,acs1
2019,"31300","Lumberton, NC Micro Area",78900,439,acs1
2011,"40340","Rochester, MN Metro Area",169600,652,acs1
2012,"40340","Rochester, MN Metro Area",167400,674,acs1
2013,"40340","Rochester, MN Metro Area",167100,671,acs1
2014,"40340","Rochester, MN Metro Area",166500,664,acs1
2015,"40340","Rochester, MN Metro Area",170200,730,acs1
2016,"40340","Rochester, MN Metro Area",173700,715,acs1
2017,"40340","Rochester, MN Metro Area",183600,735,acs1
2018,"40340","Rochester, MN Metro Area",212200,791,acs1
2019,"40340","Rochester, MN Metro Area",218000,797,acs1
2011,"39580","Raleigh, NC Metro Area",207800,695,acs1
2012,"39580","Raleigh, NC Metro Area",205500,693,acs1
2013,"39580","Raleigh, NC Metro Area",203600,741,acs1
2014,"39580","Raleigh, NC Metro Area",202900,777,acs1
2015,"39580","Raleigh, NC Metro Area",212900,791,acs1
2016,"39580","Raleigh, NC Metro Area",225000,830,acs1
2017,"39580","Raleigh, NC Metro Area",237700,878,acs1
2018,"39580","Raleigh, NC Metro Area",244500,918,acs1
2019,"39580","Raleigh, NC Metro Area",267600,968,acs1
2011,"39660","Rapid City, SD Metro Area",151700,611,acs1
2012,"39660","Rapid City, SD Metro Area",154000,601,acs1
2013,"39660","Rapid City, SD Metro Area",161600,684,acs1
2014,"39660","Rapid City, SD Metro Area",157500,655,acs1
2015,"39660","Rapid City, SD Metro Area",165200,668,acs1
2016,"39660","Rapid City, SD Metro Area",170300,708,acs1
2017,"39660","Rapid City, SD Metro Area",182500,643,acs1
2018,"39660","Rapid City, SD Metro Area",192700,696,acs1
2019,"39660","Rapid City, SD Metro Area",199600,701,acs1
2011,"40380","Rochester, NY Metro Area",127400,636,acs1
2012,"40380","Rochester, NY Metro Area",129200,647,acs1
2013,"40380","Rochester, NY Metro Area",130100,666,acs1
2014,"40380","Rochester, NY Metro Area",135700,681,acs1
2015,"40380","Rochester, NY Metro Area",133400,686,acs1
2016,"40380","Rochester, NY Metro Area",138900,709,acs1
2017,"40380","Rochester, NY Metro Area",138900,725,acs1
2018,"40380","Rochester, NY Metro Area",144500,764,acs1
2019,"40380","Rochester, NY Metro Area",148000,778,acs1
2011,"39740","Reading, PA Metro Area",175700,628,acs1
2012,"39740","Reading, PA Metro Area",168300,641,acs1
2013,"39740","Reading, PA Metro Area",166500,659,acs1
2014,"39740","Reading, PA Metro Area",166900,653,acs1
2015,"39740","Reading, PA Metro Area",168600,689,acs1
2016,"39740","Reading, PA Metro Area",171100,682,acs1
2017,"39740","Reading, PA Metro Area",174800,738,acs1
2018,"39740","Reading, PA Metro Area",173700,717,acs1
2019,"39740","Reading, PA Metro Area",186000,736,acs1
2011,"39820","Redding, CA Metro Area",225600,736,acs1
2012,"39820","Redding, CA Metro Area",203700,728,acs1
2013,"39820","Redding, CA Metro Area",202500,754,acs1
2014,"39820","Redding, CA Metro Area",209700,713,acs1
2015,"39820","Redding, CA Metro Area",226900,738,acs1
2016,"39820","Redding, CA Metro Area",238900,762,acs1
2017,"39820","Redding, CA Metro Area",237200,788,acs1
2018,"39820","Redding, CA Metro Area",248900,805,acs1
2019,"39820","Redding, CA Metro Area",265000,823,acs1
2011,"39900","Reno, NV Metro Area",215900,754,acs1
2012,"39900","Reno, NV Metro Area",176600,751,acs1
2013,"39900","Reno, NV Metro Area",177400,764,acs1
2014,"39900","Reno, NV Metro Area",200700,745,acs1
2015,"39900","Reno, NV Metro Area",232700,771,acs1
2016,"39900","Reno, NV Metro Area",268100,797,acs1
2017,"39900","Reno, NV Metro Area",297900,850,acs1
2018,"39900","Reno, NV Metro Area",329200,876,acs1
2019,"39900","Reno, NV Metro Area",361800,993,acs1
2012,"40080","Richmond-Berea, KY Micro Area",132200,470,acs1
2013,"40080","Richmond-Berea, KY Micro Area",128800,505,acs1
2014,"40080","Richmond-Berea, KY Micro Area",120500,536,acs1
2015,"40080","Richmond-Berea, KY Micro Area",133900,510,acs1
2016,"40080","Richmond-Berea, KY Micro Area",137400,529,acs1
2017,"40080","Richmond-Berea, KY Micro Area",141500,547,acs1
2018,"40080","Richmond-Berea, KY Micro Area",153400,549,acs1
2019,"40080","Richmond-Berea, KY Micro Area",148000,600,acs1
2011,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",225600,952,acs1
2012,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",217800,947,acs1
2013,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",214100,959,acs1
2014,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",234000,985,acs1
2015,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",272200,1007,acs1
2016,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",299300,1021,acs1
2017,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",318900,1086,acs1
2018,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",342300,1116,acs1
2019,"40140","Riverside-San Bernardino-Ontario, CA Metro Area",360300,1166,acs1
2011,"40220","Roanoke, VA Metro Area",176300,563,acs1
2012,"40220","Roanoke, VA Metro Area",168100,543,acs1
2013,"40220","Roanoke, VA Metro Area",165700,595,acs1
2014,"40220","Roanoke, VA Metro Area",164600,587,acs1
2015,"40220","Roanoke, VA Metro Area",172100,643,acs1
2016,"40220","Roanoke, VA Metro Area",172600,637,acs1
2017,"40220","Roanoke, VA Metro Area",171400,624,acs1
2018,"40220","Roanoke, VA Metro Area",185400,646,acs1
2019,"40220","Roanoke, VA Metro Area",178300,713,acs1
2011,"40420","Rockford, IL Metro Area",136100,561,acs1
2012,"40420","Rockford, IL Metro Area",127900,592,acs1
2013,"40420","Rockford, IL Metro Area",122100,572,acs1
2014,"40420","Rockford, IL Metro Area",120000,608,acs1
2015,"40420","Rockford, IL Metro Area",112600,605,acs1
2016,"40420","Rockford, IL Metro Area",122700,602,acs1
2017,"40420","Rockford, IL Metro Area",121600,616,acs1
2018,"40420","Rockford, IL Metro Area",121500,645,acs1
2019,"40420","Rockford, IL Metro Area",127100,647,acs1
2011,"40580","Rocky Mount, NC Metro Area",99500,451,acs1
2012,"40580","Rocky Mount, NC Metro Area",106100,460,acs1
2013,"40580","Rocky Mount, NC Metro Area",96400,455,acs1
2014,"40580","Rocky Mount, NC Metro Area",96000,455,acs1
2015,"40580","Rocky Mount, NC Metro Area",103900,464,acs1
2016,"40580","Rocky Mount, NC Metro Area",104700,473,acs1
2017,"40580","Rocky Mount, NC Metro Area",108600,469,acs1
2018,"40580","Rocky Mount, NC Metro Area",115800,526,acs1
2019,"40580","Rocky Mount, NC Metro Area",114000,497,acs1
2011,"40700","Roseburg, OR Micro Area",172200,624,acs1
2012,"40700","Roseburg, OR Micro Area",180100,575,acs1
2013,"40700","Roseburg, OR Micro Area",164800,595,acs1
2014,"40700","Roseburg, OR Micro Area",163800,590,acs1
2015,"40700","Roseburg, OR Micro Area",171200,612,acs1
2016,"40700","Roseburg, OR Micro Area",170400,615,acs1
2017,"40700","Roseburg, OR Micro Area",183400,606,acs1
2018,"40700","Roseburg, OR Micro Area",200600,661,acs1
2019,"40700","Roseburg, OR Micro Area",216400,690,acs1
2011,"41860","San Francisco-Oakland-Hayward, CA Metro Area",588300,1231,acs1
2012,"41860","San Francisco-Oakland-Hayward, CA Metro Area",561200,1261,acs1
2013,"41860","San Francisco-Oakland-Hayward, CA Metro Area",557700,1320,acs1
2014,"41860","San Francisco-Oakland-Hayward, CA Metro Area",602800,1355,acs1
2015,"41860","San Francisco-Oakland-Hayward, CA Metro Area",657300,1445,acs1
2016,"41860","San Francisco-Oakland-Hayward, CA Metro Area",718400,1547,acs1
2017,"41860","San Francisco-Oakland-Hayward, CA Metro Area",796100,1677,acs1
2018,"41860","San Francisco-Oakland-Hayward, CA Metro Area",849500,1764,acs1
2019,"41860","San Francisco-Oakland-Hayward, CA Metro Area",910300,1859,acs1
2011,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",279100,889,acs1
2012,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",252000,888,acs1
2013,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",250000,899,acs1
2014,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",278500,928,acs1
2015,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",314400,938,acs1
2016,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",339900,977,acs1
2017,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",363300,1022,acs1
2018,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",390000,1106,acs1
2019,"40900","Sacramento--Roseville--Arden-Arcade, CA Metro Area",415700,1182,acs1
2011,"41900","San Germán, PR Metro Area",110600,338,acs1
2012,"41900","San Germán, PR Metro Area",104200,294,acs1
2013,"41900","San Germán, PR Metro Area",106600,313,acs1
2014,"41900","San Germán, PR Metro Area",98500,292,acs1
2015,"41900","San Germán, PR Metro Area",114500,313,acs1
2016,"41900","San Germán, PR Metro Area",100900,311,acs1
2017,"41900","San Germán, PR Metro Area",87800,326,acs1
2018,"41900","San Germán, PR Metro Area",94200,339,acs1
2019,"41900","San Germán, PR Metro Area",93700,346,acs1
2011,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",631400,1336,acs1
2012,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",618100,1385,acs1
2013,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",624200,1473,acs1
2014,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",672900,1563,acs1
2015,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",735400,1706,acs1
2016,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",823700,1820,acs1
2017,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",911900,1964,acs1
2018,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",957700,2115,acs1
2019,"41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",1091100,2201,acs1
2011,"40980","Saginaw, MI Metro Area",104200,517,acs1
2012,"40980","Saginaw, MI Metro Area",96700,530,acs1
2013,"40980","Saginaw, MI Metro Area",92200,521,acs1
2014,"40980","Saginaw, MI Metro Area",95100,537,acs1
2015,"40980","Saginaw, MI Metro Area",89700,550,acs1
2016,"40980","Saginaw, MI Metro Area",93500,551,acs1
2017,"40980","Saginaw, MI Metro Area",96200,552,acs1
2018,"40980","Saginaw, MI Metro Area",104300,573,acs1
2019,"40980","Saginaw, MI Metro Area",105800,576,acs1
2011,"41060","St. Cloud, MN Metro Area",170700,607,acs1
2012,"41060","St. Cloud, MN Metro Area",164800,646,acs1
2013,"41060","St. Cloud, MN Metro Area",161600,627,acs1
2014,"41060","St. Cloud, MN Metro Area",162200,627,acs1
2015,"41060","St. Cloud, MN Metro Area",162900,642,acs1
2016,"41060","St. Cloud, MN Metro Area",168100,658,acs1
2017,"41060","St. Cloud, MN Metro Area",173400,711,acs1
2018,"41060","St. Cloud, MN Metro Area",179300,699,acs1
2019,"41060","St. Cloud, MN Metro Area",191800,732,acs1
2011,"41100","St. George, UT Metro Area",217400,741,acs1
2012,"41100","St. George, UT Metro Area",215400,761,acs1
2013,"41100","St. George, UT Metro Area",182200,776,acs1
2014,"41100","St. George, UT Metro Area",204300,787,acs1
2015,"41100","St. George, UT Metro Area",221800,773,acs1
2016,"41100","St. George, UT Metro Area",231400,814,acs1
2017,"41100","St. George, UT Metro Area",266200,836,acs1
2018,"41100","St. George, UT Metro Area",279800,879,acs1
2019,"41100","St. George, UT Metro Area",313000,886,acs1
2011,"41140","St. Joseph, MO-KS Metro Area",111200,446,acs1
2012,"41140","St. Joseph, MO-KS Metro Area",107000,484,acs1
2013,"41140","St. Joseph, MO-KS Metro Area",111100,498,acs1
2014,"41140","St. Joseph, MO-KS Metro Area",111200,530,acs1
2015,"41140","St. Joseph, MO-KS Metro Area",113900,491,acs1
2016,"41140","St. Joseph, MO-KS Metro Area",112900,552,acs1
2017,"41140","St. Joseph, MO-KS Metro Area",119800,531,acs1
2018,"41140","St. Joseph, MO-KS Metro Area",122000,584,acs1
2019,"41140","St. Joseph, MO-KS Metro Area",131700,538,acs1
2011,"41180","St. Louis, MO-IL Metro Area",161400,586,acs1
2012,"41180","St. Louis, MO-IL Metro Area",157000,602,acs1
2013,"41180","St. Louis, MO-IL Metro Area",155200,610,acs1
2014,"41180","St. Louis, MO-IL Metro Area",153000,646,acs1
2015,"41180","St. Louis, MO-IL Metro Area",156100,638,acs1
2016,"41180","St. Louis, MO-IL Metro Area",164200,660,acs1
2017,"41180","St. Louis, MO-IL Metro Area",169200,683,acs1
2018,"41180","St. Louis, MO-IL Metro Area",172200,695,acs1
2019,"41180","St. Louis, MO-IL Metro Area",180700,700,acs1
2014,"41400","Salem, OH Micro Area",96000,444,acs5
2015,"41400","Salem, OH Micro Area",97600,449,acs5
2016,"41400","Salem, OH Micro Area",101100,454,acs5
2017,"41400","Salem, OH Micro Area",104100,466,acs5
2018,"41400","Salem, OH Micro Area",104300,485,acs5
2019,"41400","Salem, OH Micro Area",106700,492,acs5
2011,"41420","Salem, OR Metro Area",204900,655,acs1
2012,"41420","Salem, OR Metro Area",194600,653,acs1
2013,"41420","Salem, OR Metro Area",189100,655,acs1
2014,"41420","Salem, OR Metro Area",182200,632,acs1
2015,"41420","Salem, OR Metro Area",190800,680,acs1
2016,"41420","Salem, OR Metro Area",205000,708,acs1
2017,"41420","Salem, OR Metro Area",228000,786,acs1
2018,"41420","Salem, OR Metro Area",241700,824,acs1
2019,"41420","Salem, OR Metro Area",273400,885,acs1
2011,"41500","Salinas, CA Metro Area",381700,1075,acs1
2012,"41500","Salinas, CA Metro Area",332300,1061,acs1
2013,"41500","Salinas, CA Metro Area",318200,1094,acs1
2014,"41500","Salinas, CA Metro Area",363800,1139,acs1
2015,"41500","Salinas, CA Metro Area",391200,1137,acs1
2016,"41500","Salinas, CA Metro Area",429100,1201,acs1
2017,"41500","Salinas, CA Metro Area",481000,1218,acs1
2018,"41500","Salinas, CA Metro Area",517200,1355,acs1
2019,"41500","Salinas, CA Metro Area",563000,1403,acs1
2011,"41540","Salisbury, MD-DE Metro Area",182600,680,acs1
2012,"41540","Salisbury, MD-DE Metro Area",171300,696,acs1
2013,"41540","Salisbury, MD-DE Metro Area",171200,708,acs1
2014,"41540","Salisbury, MD-DE Metro Area",204200,734,acs1
2015,"41540","Salisbury, MD-DE Metro Area",203700,770,acs1
2016,"41540","Salisbury, MD-DE Metro Area",218200,778,acs1
2017,"41540","Salisbury, MD-DE Metro Area",229600,736,acs1
2018,"41540","Salisbury, MD-DE Metro Area",244800,741,acs1
2019,"41540","Salisbury, MD-DE Metro Area",231800,824,acs1
2011,"41620","Salt Lake City, UT Metro Area",236800,733,acs1
2012,"41620","Salt Lake City, UT Metro Area",226200,763,acs1
2013,"41620","Salt Lake City, UT Metro Area",221100,794,acs1
2014,"41620","Salt Lake City, UT Metro Area",225100,825,acs1
2015,"41620","Salt Lake City, UT Metro Area",237900,818,acs1
2016,"41620","Salt Lake City, UT Metro Area",251200,854,acs1
2017,"41620","Salt Lake City, UT Metro Area",267800,907,acs1
2018,"41620","Salt Lake City, UT Metro Area",294800,951,acs1
2019,"41620","Salt Lake City, UT Metro Area",329200,1019,acs1
2011,"41660","San Angelo, TX Metro Area",94100,524,acs1
2012,"41660","San Angelo, TX Metro Area",96700,567,acs1
2013,"41660","San Angelo, TX Metro Area",103500,548,acs1
2014,"41660","San Angelo, TX Metro Area",111400,630,acs1
2015,"41660","San Angelo, TX Metro Area",97800,637,acs1
2016,"41660","San Angelo, TX Metro Area",124000,687,acs1
2017,"41660","San Angelo, TX Metro Area",140300,688,acs1
2018,"41660","San Angelo, TX Metro Area",138600,696,acs1
2019,"41660","San Angelo, TX Metro Area",154400,733,acs1
2011,"41700","San Antonio-New Braunfels, TX Metro Area",131700,650,acs1
2012,"41700","San Antonio-New Braunfels, TX Metro Area",130100,671,acs1
2013,"41700","San Antonio-New Braunfels, TX Metro Area",132100,682,acs1
2014,"41700","San Antonio-New Braunfels, TX Metro Area",134000,716,acs1
2015,"41700","San Antonio-New Braunfels, TX Metro Area",143900,743,acs1
2016,"41700","San Antonio-New Braunfels, TX Metro Area",151400,775,acs1
2017,"41700","San Antonio-New Braunfels, TX Metro Area",160200,802,acs1
2018,"41700","San Antonio-New Braunfels, TX Metro Area",170100,817,acs1
2019,"41700","San Antonio-New Braunfels, TX Metro Area",182000,854,acs1
2011,"41740","San Diego-Carlsbad, CA Metro Area",407000,1178,acs1
2012,"41740","San Diego-Carlsbad, CA Metro Area",396500,1170,acs1
2013,"41740","San Diego-Carlsbad, CA Metro Area",386400,1195,acs1
2014,"41740","San Diego-Carlsbad, CA Metro Area",411000,1214,acs1
2015,"41740","San Diego-Carlsbad, CA Metro Area",457300,1295,acs1
2016,"41740","San Diego-Carlsbad, CA Metro Area",485900,1348,acs1
2017,"41740","San Diego-Carlsbad, CA Metro Area",527600,1415,acs1
2018,"41740","San Diego-Carlsbad, CA Metro Area",563800,1506,acs1
2019,"41740","San Diego-Carlsbad, CA Metro Area",606200,1578,acs1
2011,"41980","San Juan-Carolina-Caguas, PR Metro Area",133000,373,acs1
2012,"41980","San Juan-Carolina-Caguas, PR Metro Area",133000,391,acs1
2013,"41980","San Juan-Carolina-Caguas, PR Metro Area",140000,383,acs1
2014,"41980","San Juan-Carolina-Caguas, PR Metro Area",135200,394,acs1
2015,"41980","San Juan-Carolina-Caguas, PR Metro Area",133800,403,acs1
2016,"41980","San Juan-Carolina-Caguas, PR Metro Area",126500,377,acs1
2017,"41980","San Juan-Carolina-Caguas, PR Metro Area",124200,416,acs1
2018,"41980","San Juan-Carolina-Caguas, PR Metro Area",121800,412,acs1
2019,"41980","San Juan-Carolina-Caguas, PR Metro Area",121700,419,acs1
2011,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",425200,1034,acs1
2012,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",402200,1125,acs1
2013,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",410900,1087,acs1
2014,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",436000,1078,acs1
2015,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",459900,1136,acs1
2016,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",508200,1169,acs1
2017,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",547200,1218,acs1
2018,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",574400,1312,acs1
2019,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",593100,1291,acs1
2011,"42100","Santa Cruz-Watsonville, CA Metro Area",558000,1194,acs1
2012,"42100","Santa Cruz-Watsonville, CA Metro Area",532200,1264,acs1
2013,"42100","Santa Cruz-Watsonville, CA Metro Area",545700,1378,acs1
2014,"42100","Santa Cruz-Watsonville, CA Metro Area",535500,1244,acs1
2015,"42100","Santa Cruz-Watsonville, CA Metro Area",615200,1370,acs1
2016,"42100","Santa Cruz-Watsonville, CA Metro Area",668300,1386,acs1
2017,"42100","Santa Cruz-Watsonville, CA Metro Area",712800,1489,acs1
2018,"42100","Santa Cruz-Watsonville, CA Metro Area",775000,1580,acs1
2019,"42100","Santa Cruz-Watsonville, CA Metro Area",815100,1610,acs1
2011,"42140","Santa Fe, NM Metro Area",284800,735,acs1
2012,"42140","Santa Fe, NM Metro Area",292300,809,acs1
2013,"42140","Santa Fe, NM Metro Area",270200,775,acs1
2014,"42140","Santa Fe, NM Metro Area",263900,815,acs1
2015,"42140","Santa Fe, NM Metro Area",269300,824,acs1
2016,"42140","Santa Fe, NM Metro Area",286200,850,acs1
2017,"42140","Santa Fe, NM Metro Area",278000,878,acs1
2018,"42140","Santa Fe, NM Metro Area",292600,884,acs1
2019,"42140","Santa Fe, NM Metro Area",296100,928,acs1
2014,"42200","Santa Maria-Santa Barbara, CA Metro Area",453000,1242,acs5
2015,"42200","Santa Maria-Santa Barbara, CA Metro Area",446500,1267,acs5
2016,"42200","Santa Maria-Santa Barbara, CA Metro Area",465300,1278,acs5
2017,"42200","Santa Maria-Santa Barbara, CA Metro Area",480000,1333,acs5
2018,"42200","Santa Maria-Santa Barbara, CA Metro Area",509400,1397,acs5
2019,"42200","Santa Maria-Santa Barbara, CA Metro Area",549900,1462,acs5
2011,"42220","Santa Rosa, CA Metro Area",414000,1121,acs1
2012,"42220","Santa Rosa, CA Metro Area",398900,1108,acs1
2013,"42220","Santa Rosa, CA Metro Area",380100,1145,acs1
2014,"42220","Santa Rosa, CA Metro Area",406900,1172,acs1
2015,"42220","Santa Rosa, CA Metro Area",469400,1250,acs1
2016,"42220","Santa Rosa, CA Metro Area",512100,1270,acs1
2017,"42220","Santa Rosa, CA Metro Area",565200,1420,acs1
2018,"42220","Santa Rosa, CA Metro Area",628400,1453,acs1
2019,"42220","Santa Rosa, CA Metro Area",655200,1528,acs1
2011,"42340","Savannah, GA Metro Area",172900,701,acs1
2012,"42340","Savannah, GA Metro Area",162100,738,acs1
2013,"42340","Savannah, GA Metro Area",171700,728,acs1
2014,"42340","Savannah, GA Metro Area",169300,748,acs1
2015,"42340","Savannah, GA Metro Area",165400,752,acs1
2016,"42340","Savannah, GA Metro Area",173600,793,acs1
2017,"42340","Savannah, GA Metro Area",177300,836,acs1
2018,"42340","Savannah, GA Metro Area",185000,852,acs1
2019,"42340","Savannah, GA Metro Area",205600,873,acs1
2011,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",129500,485,acs1
2012,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",131300,512,acs1
2013,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",133300,522,acs1
2014,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",135200,546,acs1
2015,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",131900,566,acs1
2016,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",132900,593,acs1
2017,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",138700,579,acs1
2018,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",140200,613,acs1
2019,"42540","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",140500,629,acs1
2011,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",333100,903,acs1
2012,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",309600,913,acs1
2013,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",293700,945,acs1
2014,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",307900,996,acs1
2015,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",334700,1046,acs1
2016,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",361500,1126,acs1
2017,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",391500,1198,acs1
2018,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",439800,1304,acs1
2019,"42660","Seattle-Tacoma-Bellevue, WA Metro Area",487400,1428,acs1
2011,"42680","Sebastian-Vero Beach, FL Metro Area",163900,770,acs1
2012,"42680","Sebastian-Vero Beach, FL Metro Area",151600,635,acs1
2013,"42680","Sebastian-Vero Beach, FL Metro Area",139500,659,acs1
2014,"42680","Sebastian-Vero Beach, FL Metro Area",151100,736,acs1
2015,"42680","Sebastian-Vero Beach, FL Metro Area",167800,755,acs1
2016,"42680","Sebastian-Vero Beach, FL Metro Area",174000,765,acs1
2017,"42680","Sebastian-Vero Beach, FL Metro Area",183600,782,acs1
2018,"42680","Sebastian-Vero Beach, FL Metro Area",200000,777,acs1
2019,"42680","Sebastian-Vero Beach, FL Metro Area",220800,824,acs1
2017,"42700","Sebring, FL Metro Area",92100,604,acs1
2018,"42700","Sebring, FL Metro Area",100200,630,acs1
2019,"42700","Sebring, FL Metro Area",105800,642,acs1
2011,"43100","Sheboygan, WI Metro Area",158000,513,acs1
2012,"43100","Sheboygan, WI Metro Area",158500,519,acs1
2013,"43100","Sheboygan, WI Metro Area",145700,517,acs1
2014,"43100","Sheboygan, WI Metro Area",146500,540,acs1
2015,"43100","Sheboygan, WI Metro Area",143700,558,acs1
2016,"43100","Sheboygan, WI Metro Area",145000,546,acs1
2017,"43100","Sheboygan, WI Metro Area",154700,569,acs1
2018,"43100","Sheboygan, WI Metro Area",154900,600,acs1
2019,"43100","Sheboygan, WI Metro Area",167300,611,acs1
2011,"43300","Sherman-Denison, TX Metro Area",104600,579,acs1
2012,"43300","Sherman-Denison, TX Metro Area",105800,581,acs1
2013,"43300","Sherman-Denison, TX Metro Area",105100,596,acs1
2014,"43300","Sherman-Denison, TX Metro Area",99300,587,acs1
2015,"43300","Sherman-Denison, TX Metro Area",109100,619,acs1
2016,"43300","Sherman-Denison, TX Metro Area",112300,624,acs1
2017,"43300","Sherman-Denison, TX Metro Area",125200,665,acs1
2018,"43300","Sherman-Denison, TX Metro Area",139500,715,acs1
2019,"43300","Sherman-Denison, TX Metro Area",163100,735,acs1
2011,"43320","Show Low, AZ Micro Area",133700,474,acs1
2012,"43320","Show Low, AZ Micro Area",98700,467,acs1
2013,"43320","Show Low, AZ Micro Area",98300,507,acs1
2014,"43320","Show Low, AZ Micro Area",98500,503,acs1
2015,"43320","Show Low, AZ Micro Area",104400,445,acs1
2016,"43320","Show Low, AZ Micro Area",120900,521,acs1
2017,"43320","Show Low, AZ Micro Area",98700,531,acs1
2018,"43320","Show Low, AZ Micro Area",138900,551,acs1
2019,"43320","Show Low, AZ Micro Area",124600,524,acs1
2011,"43340","Shreveport-Bossier City, LA Metro Area",122900,522,acs1
2012,"43340","Shreveport-Bossier City, LA Metro Area",132800,593,acs1
2013,"43340","Shreveport-Bossier City, LA Metro Area",128600,564,acs1
2014,"43340","Shreveport-Bossier City, LA Metro Area",121100,573,acs1
2015,"43340","Shreveport-Bossier City, LA Metro Area",127000,628,acs1
2016,"43340","Shreveport-Bossier City, LA Metro Area",145300,602,acs1
2017,"43340","Shreveport-Bossier City, LA Metro Area",150900,610,acs1
2018,"43340","Shreveport-Bossier City, LA Metro Area",149400,611,acs1
